"행정구역","2018년12월_전체세대","2018년12월_1인세대","2018년12월_2인세대","2018년12월_3인세대","2018년12월_4인세대","2018년12월_5인세대","2018년12월_6인세대","2018년12월_7인세대","2018년12월_8인세대","2018년12월_9인세대","2018년12월_10인세대"
"충청북도  (4300000000)","707,220","278,667","168,176","115,396","103,810","31,460","7,338","1,683","391","150","149"
"충청북도 청주시 (4311000000)","353,320","130,264","75,400","62,977","62,389","17,599","3,649","762","182","58","40"
"충청북도 충주시 (4313000000)","93,163","35,468","23,811","15,555","13,104","3,893","971","263","52","20","26"
"충청북도 제천시 (4315000000)","62,367","25,211","16,566","9,677","7,769","2,401","568","128","26","9","12"
"충청북도 보은군 (4372000000)","16,600","7,302","5,026","2,116","1,288","580","207","52","16","7","6"
"충청북도 옥천군 (4373000000)","23,681","9,486","6,891","3,437","2,486","990","282","80","13","7","9"
"충청북도 영동군 (4374000000)","24,370","11,071","6,734","3,082","2,115","924","323","85","17","12","7"
"충청북도 증평군 (4374500000)","16,854","6,954","4,005","2,570","2,295","799","173","43","8","5","2"
"충청북도 진천군 (4375000000)","35,276","14,582","8,300","5,440","4,805","1,652","380","61","33","15","8"
"충청북도 괴산군 (4376000000)","20,899","10,394","6,090","2,330","1,279","527","196","55","11","9","8"
"충청북도 음성군 (4377000000)","45,571","20,988","11,081","6,289","5,007","1,612","433","106","25","7","23"
"충청북도 단양군 (4380000000)","15,119","6,947","4,272","1,923","1,273","483","156","48","8","1","8"
"충청남도  (4400000000)","943,611","376,190","223,702","150,550","137,277","42,314","9,972","2,549","662","211","184"
"충청남도 천안시 (4413000000)","273,851","104,917","53,771","48,433","50,267","13,074","2,582","568","150","56","33"
"충청남도 공주시 (4415000000)","50,134","21,404","13,083","7,485","5,307","2,009","590","184","36","14","22"
"충청남도 보령시 (4418000000)","47,705","19,955","12,961","6,961","5,272","1,831","522","136","41","17","9"
"충청남도 아산시 (4420000000)","132,159","50,253","27,162","22,385","23,618","6,875","1,394","327","94","25","26"
"충청남도 서산시 (4421000000)","75,091","27,377","18,767","12,712","11,674","3,528","780","181","49","13","10"
"충청남도 논산시 (4423000000)","56,729","24,487","15,077","8,088","5,971","2,262","617","159","39","7","22"
"충청남도 계룡시 (4425000000)","15,860","3,997","3,334","3,099","3,862","1,225","253","63","15","7","5"
"충청남도 당진시 (4427000000)","75,540","31,255","17,641","11,480","10,642","3,399","815","217","60","22","9"
"충청남도 금산군 (4471000000)","25,588","11,197","7,232","3,419","2,334","994","295","82","17","6","12"
"충청남도 부여군 (4476000000)","33,193","14,464","9,820","4,372","2,731","1,225","404","124","38","10","5"
"충청남도 서천군 (4477000000)","26,433","11,416","8,045","3,484","2,172","928","268","76","24","8","12"
"충청남도 청양군 (4479000000)","16,274","7,651","4,630","1,926","1,190","564","214","68","19","9","3"
"충청남도 홍성군 (4480000000)","45,358","17,534","12,131","7,139","5,877","1,989","490","157","26","8","7"
"충청남도 예산군 (4481000000)","38,060","15,899","11,042","5,468","3,622","1,405","448","133","30","6","7"
"충청남도 태안군 (4482500000)","31,636","14,384","9,006","4,099","2,738","1,006","300","74","24","3","2"
"전라북도  (4500000000)","806,235","313,716","196,780","129,623","112,534","39,995","9,818","2,565","694","231","279"
"전라북도 전주시 (4511000000)","266,541","90,998","59,263","49,325","47,254","15,453","3,254","710","188","53","43"
"전라북도 군산시 (4513000000)","117,068","43,351","28,059","20,065","17,986","5,720","1,377","364","85","22","39"
"전라북도 익산시 (4514000000)","126,516","47,872","30,155","21,105","18,677","6,503","1,614","390","105","41","54"
"전라북도 정읍시 (4518000000)","53,110","22,984","14,096","7,468","5,494","2,320","550","138","32","13","15"
"전라북도 남원시 (4519000000)","38,054","15,965","10,113","5,362","4,185","1,729","475","154","38","12","21"
"전라북도 김제시 (4521000000)","41,618","18,875","11,147","5,579","3,791","1,567","446","150","30","15","18"
"전라북도 완주군 (4571000000)","41,881","16,811","10,371","6,324","5,393","2,152","576","167","51","18","18"
"전라북도 진안군 (4572000000)","13,023","6,264","3,569","1,492","947","476","155","78","25","7","10"
"전라북도 무주군 (4573000000)","12,204","5,616","3,463","1,426","1,049","445","151","37","7","4","6"
"전라북도 장수군 (4574000000)","11,327","5,202","3,180","1,324","872","461","196","53","22","7","10"
"전라북도 임실군 (4575000000)","14,790","6,942","4,041","1,756","1,137","555","208","78","42","17","14"
"전라북도 순창군 (4577000000)","13,877","6,015","4,025","1,717","1,174","602","224","74","28","9","9"
"전라북도 고창군 (4579000000)","28,802","13,804","7,909","3,277","2,336","1,036","309","93","21","5","12"
"전라북도 부안군 (4580000000)","27,424","13,017","7,389","3,403","2,239","976","283","79","20","8","10"
"전라남도  (4600000000)","860,303","361,281","213,347","126,625","105,114","39,741","10,093","2,724","775","278","325"
"전라남도 목포시 (4611000000)","101,609","39,955","23,111","17,001","14,866","5,238","1,094","242","70","14","18"
"전라남도 여수시 (4613000000)","120,810","43,721","29,954","20,270","18,407","6,433","1,508","381","86","29","21"
"전라남도 순천시 (4615000000)","113,942","38,099","26,288","20,816","20,265","6,677","1,334","344","77","23","19"
"전라남도 나주시 (4617000000)","54,872","25,593","12,848","7,672","5,922","2,135","498","132","32","21","19"
"전라남도 광양시 (4623000000)","64,186","22,903","13,948","11,189","11,273","3,609","785","241","99","47","92"
"전라남도 담양군 (4671000000)","23,129","10,920","5,968","2,939","1,999","875","300","86","24","7","11"
"전라남도 곡성군 (4672000000)","15,132","7,500","3,962","1,745","1,136","531","180","50","19","3","6"
"전라남도 구례군 (4673000000)","13,151","6,093","3,558","1,581","1,038","571","185","73","27","11","14"
"전라남도 고흥군 (4677000000)","34,536","16,610","10,403","3,816","2,251","998","336","90","19","9","4"
"전라남도 보성군 (4678000000)","22,459","11,372","6,042","2,498","1,448","717","272","74","21","8","7"
"전라남도 화순군 (4679000000)","29,928","13,232","7,299","4,208","3,314","1,371","374","83","26","8","13"
"전라남도 장흥군 (4680000000)","20,139","9,880","5,415","2,256","1,566","730","188","70","20","8","6"
"전라남도 강진군 (4681000000)","18,352","8,844","5,040","2,087","1,417","676","205","60","12","7","4"
"전라남도 해남군 (4682000000)","34,745","15,750","9,567","4,325","2,978","1,425","482","145","39","12","22"
"전라남도 영암군 (4683000000)","26,851","12,854","6,562","3,346","2,493","1,164","307","81","28","6","10"
"전라남도 무안군 (4684000000)","36,410","14,870","8,735","5,551","4,810","1,851","440","104","28","13","8"
"전라남도 함평군 (4686000000)","17,751","9,352","4,532","1,915","1,075","585","199","56","19","11","7"
"전라남도 영광군 (4687000000)","26,378","12,135","7,041","3,334","2,341","1,044","331","98","28","7","19"
"전라남도 장성군 (4688000000)","22,095","10,108","5,719","2,866","2,038","924","301","95","28","8","8"
"전라남도 완도군 (4689000000)","25,835","12,108","7,236","3,060","2,011","1,001","306","85","20","5","3"
"전라남도 진도군 (4690000000)","16,110","8,000","4,304","1,821","1,169","547","192","45","23","7","2"
"전라남도 신안군 (4691000000)","21,883","11,382","5,815","2,329","1,297","639","276","89","30","14","12"
"경상북도  (4700000000)","1,207,351","479,564","302,248","196,925","166,465","47,050","11,243","2,690","708","216","242"
"경상북도 포항시 (4711000000)","216,654","74,208","53,805","41,093","36,317","8,894","1,768","410","110","21","28"
"경상북도 경주시 (4713000000)","116,805","46,988","29,056","19,153","15,794","4,389","1,046","278","61","22","18"
"경상북도 김천시 (4715000000)","63,443","25,380","15,866","10,075","8,527","2,663","709","143","46","16","18"
"경상북도 안동시 (4717000000)","73,863","29,827","19,327","11,682","8,871","3,045","809","212","49","15","26"
"경상북도 구미시 (4719000000)","173,269","61,274","33,645","33,129","35,200","8,105","1,490","293","94","30","9"
"경상북도 영주시 (4721000000)","48,982","19,398","13,609","7,446","5,841","1,998","535","109","28","11","7"
"경상북도 영천시 (4723000000)","50,020","22,708","13,438","6,951","4,754","1,569","423","114","42","8","13"
"경상북도 상주시 (4725000000)","47,527","19,974","13,527","6,721","4,765","1,746","569","160","33","13","19"
"경상북도 문경시 (4728000000)","34,644","15,023","9,659","4,823","3,370","1,306","325","107","17","8","6"
"경상북도 경산시 (4729000000)","112,513","41,512","26,369","20,406","17,980","4,842","1,090","218","56","20","20"
"경상북도 군위군 (4772000000)","12,784","6,220","3,863","1,534","732","289","106","27","5","3","5"
"경상북도 의성군 (4773000000)","27,822","13,055","8,835","3,201","1,678","708","250","62","22","6","5"
"경상북도 청송군 (4775000000)","13,723","6,654","4,191","1,574","849","320","96","25","6","4","4"
"경상북도 영양군 (4776000000)","8,913","4,160","2,728","992","647","260","96","15","9","1","5"
