"행정구역","2011년12월_전체세대","2011년12월_1인세대","2011년12월_2인세대","2011년12월_3인세대","2011년12월_4인세대","2011년12월_5인세대","2011년12월_6인세대","2011년12월_7인세대","2011년12월_8인세대","2011년12월_9인세대","2011년12월_10인세대"
"경상북도 구미시 (4719000000)","161,502","57,053","24,429","28,654","38,877","9,954","1,913","430","131","43","18"
"경상북도 영주시 (4721000000)","47,446","16,886","11,520","7,770","7,258","2,817","869","232","58","20","16"
"경상북도 영천시 (4723000000)","45,765","18,523","10,964","7,053","6,055","2,170","705","182","71","17","25"
"경상북도 상주시 (4725000000)","45,047","16,979","11,659","6,939","5,731","2,528","888","233","61","11","18"
"경상북도 문경시 (4728000000)","33,226","12,729","8,433","5,039","4,377","1,825","594","168","34","15","12"
"경상북도 경산시 (4729000000)","96,241","31,386","19,596","18,522","19,389","5,491","1,373","362","78","22","22"
"경상북도 군위군 (4772000000)","11,647","4,999","3,438","1,540","993","429","178","47","14","3","6"
"경상북도 의성군 (4773000000)","27,370","11,330","8,271","3,647","2,491","1,105","380","110","22","9","5"
"경상북도 청송군 (4775000000)","12,827","5,486","3,795","1,707","1,149","481","147","41","18","1","2"
"경상북도 영양군 (4776000000)","8,688","3,692","2,539","1,121","834","340","117","35","5","2","3"
"경상북도 영덕군 (4777000000)","20,051","9,102","5,500","2,620","1,801","725","221","59","14","5","4"
"경상북도 청도군 (4782000000)","20,397","8,634","5,359","2,885","2,104","967","323","87","25","7","6"
"경상북도 고령군 (4783000000)","15,911","6,490","4,002","2,443","1,944","692","251","59","20","3","7"
"경상북도 성주군 (4784000000)","20,428","8,405","5,173","3,039","2,215","1,023","387","130","36","10","10"
"경상북도 칠곡군 (4785000000)","49,961","20,046","8,897","8,319","9,126","2,666","644","184","50","14","15"
"경상북도 예천군 (4790000000)","21,430","8,573","6,380","2,904","2,143","950","356","75","31","9","9"
"경상북도 봉화군 (4792000000)","15,825","6,477","4,577","2,115","1,594","716","223","94","21","5","3"
"경상북도 울진군 (4793000000)","23,652","9,755","5,990","3,378","3,089","1,033","290","87","22","2","6"
"경상북도 울릉군 (4794000000)","5,322","2,737","1,065","672","531","215","70","24","4","1","3"
"경상남도  (4800000000)","1,286,678","411,019","259,809","235,731","271,892","81,700","19,760","4,730","1,256","403","378"
"경상남도 창원시 (4812000000)","404,755","115,113","73,245","80,315","101,635","27,322","5,534","1,125","310","90","66"
"경상남도 진주시 (4817000000)","128,875","39,805","26,213","24,325","26,597","9,042","2,236","485","111","32","29"
"경상남도 통영시 (4822000000)","57,496","19,927","12,734","10,599","9,885","3,196","872","203","52","14","14"
"경상남도 사천시 (4824000000)","47,905","17,688","10,693","8,131","7,831","2,583","742","165","45","15","12"
"경상남도 김해시 (4825000000)","181,135","47,143","31,532","36,146","48,982","13,392","2,935","700","193","69","43"
"경상남도 밀양시 (4827000000)","46,963","17,960","11,346","7,455","6,667","2,500","773","185","45","16","16"
"경상남도 거제시 (4831000000)","88,629","28,375","15,538","16,370","20,548","5,946","1,360","356","89","25","22"
"경상남도 양산시 (4833000000)","99,954","28,605","19,331","20,237","23,581","6,348","1,400","310","87","24","31"
"경상남도 의령군 (4872000000)","14,274","6,537","3,735","1,779","1,248","611","240","84","23","8","9"
"경상남도 함안군 (4873000000)","28,523","11,020","6,427","4,421","4,450","1,592","435","115","36","12","15"
"경상남도 창녕군 (4874000000)","28,846","12,176","7,436","4,197","3,168","1,276","446","108","22","7","10"
"경상남도 고성군 (4882000000)","25,692","10,664","6,408","3,701","3,104","1,207","433","122","31","9","13"
"경상남도 남해군 (4884000000)","22,918","9,447","6,453","3,083","2,209","1,097","416","135","35","20","23"
"경상남도 하동군 (4885000000)","23,666","9,582","6,111","3,310","2,592","1,255","513","181","65","24","33"
"경상남도 산청군 (4886000000)","17,223","7,978","4,402","2,189","1,562","718","245","93","19","11","6"
"경상남도 함양군 (4887000000)","18,934","8,231","4,848","2,515","1,942","922","324","97","28","12","15"
"경상남도 거창군 (4888000000)","26,993","10,196","6,768","3,999","3,690","1,666","497","130","36","5","6"
"경상남도 합천군 (4889000000)","23,897","10,572","6,589","2,959","2,201","1,027","359","136","29","10","15"
"제주특별자치도  (5000000000)","227,873","83,392","41,514","37,908","40,029","17,985","4,983","1,488","365","107","102"
"제주특별자치도 제주시 (5011000000)","165,494","59,468","29,079","28,122","30,701","13,240","3,538","971","230","71","74"
"제주특별자치도 서귀포시 (5013000000)","62,379","23,924","12,435","9,786","9,328","4,745","1,445","517","135","36","28"
