"행정구역","2014년12월_남자 평균연령","2014년12월_여자 평균연령","2014년12월_평균연령"
"서울특별시 강북구 우이동(1130564500)","42.3","44.6","43.5"
"서울특별시 강북구 인수동(1130566000)","41.8","44.3","43.1"
"서울특별시 도봉구 (1132000000)","40.1","42.1","41.1"
"서울특별시 도봉구 창제1동(1132051100)","39.1","41.2","40.2"
"서울특별시 도봉구 창제2동(1132051200)","39.3","41","40.2"
"서울특별시 도봉구 창제3동(1132051300)","40.5","42.8","41.6"
"서울특별시 도봉구 창제4동(1132051400)","38.2","40","39.1"
"서울특별시 도봉구 창제5동(1132051500)","39.2","40.9","40.1"
"서울특별시 도봉구 도봉제1동(1132052100)","43.9","45.9","44.9"
"서울특별시 도봉구 도봉제2동(1132052200)","41.9","43.7","42.8"
"서울특별시 도봉구 쌍문제1동(1132066000)","41.1","42.7","41.9"
"서울특별시 도봉구 쌍문제2동(1132067000)","40.2","43","41.6"
"서울특별시 도봉구 쌍문제3동(1132068000)","40.9","43.1","42.1"
"서울특별시 도봉구 쌍문제4동(1132068100)","38.5","40.7","39.6"
"서울특별시 도봉구 방학제1동(1132069000)","40.5","42.5","41.5"
"서울특별시 도봉구 방학제2동(1132070000)","40.9","43.5","42.2"
"서울특별시 도봉구 방학제3동(1132071000)","38.3","41","39.7"
"서울특별시 노원구 (1135000000)","38.3","40.7","39.5"
"서울특별시 노원구 월계1동(1135056000)","39.8","42.2","41"
"서울특별시 노원구 월계2동(1135057000)","40.1","43.4","41.8"
"서울특별시 노원구 월계3동(1135058000)","38.6","41.3","40"
"서울특별시 노원구 공릉1동(1135059500)","39.1","41.1","40.1"
"서울특별시 노원구 공릉2동(1135060000)","36.7","38.6","37.6"
"서울특별시 노원구 하계1동(1135061100)","37.7","42.2","40"
"서울특별시 노원구 하계2동(1135061200)","37.3","39.3","38.3"
"서울특별시 노원구 중계본동(1135061900)","36.8","38.3","37.6"
"서울특별시 노원구 중계1동(1135062100)","34.9","37.2","36"
"서울특별시 노원구 중계4동(1135062400)","38.8","41.9","40.4"
"서울특별시 노원구 중계2.3동(1135062500)","38.6","42.3","40.6"
"서울특별시 노원구 상계1동(1135063000)","39.5","41.4","40.5"
"서울특별시 노원구 상계2동(1135064000)","40.1","41.2","40.6"
"서울특별시 노원구 상계3.4동(1135066500)","42","44.6","43.3"
"서울특별시 노원구 상계5동(1135067000)","39.9","42.6","41.2"
"서울특별시 노원구 상계6.7동(1135069500)","37.1","39.4","38.3"
