"행정구역","2010년12월_총인구수","2010년12월_세대수","2010년12월_세대당 인구","2010년12월_남자 인구수","2010년12월_여자 인구수","2010년12월_남여 비율"
"경상북도 영주시 상망동(4721051000)","9,722","3,815","          2.55","4,875","4,847","          1.01"
"경상북도 영주시 하망동(4721052500)","8,090","3,171","          2.55","3,945","4,145","          0.95"
"경상북도 영주시 영주1동(4721055000)","5,773","2,744","          2.10","2,783","2,990","          0.93"
"경상북도 영주시 영주2동(4721056000)","5,098","2,102","          2.43","2,500","2,598","          0.96"
"경상북도 영주시 휴천1동(4721059000)","7,756","2,738","          2.83","3,861","3,895","          0.99"
"경상북도 영주시 휴천2동(4721060000)","10,771","4,277","          2.52","5,377","5,394","          1.00"
"경상북도 영주시 휴천3동(4721061000)","10,409","3,816","          2.73","5,184","5,225","          0.99"
"경상북도 영주시 가흥1동(4721062000)","10,384","4,447","          2.34","5,120","5,264","          0.97"
"경상북도 영주시 가흥2동(4721063000)","7,857","2,900","          2.71","3,933","3,924","          1.00"
"경상북도 영천시 (4723000000)","103,190","44,857","          2.30","51,895","51,295","          1.01"
"경상북도 영천시 금호읍(4723025000)","12,505","6,010","          2.08","6,405","6,100","          1.05"
"경상북도 영천시 청통면(4723031000)","4,700","2,136","          2.20","2,405","2,295","          1.05"
"경상북도 영천시 신녕면(4723032000)","4,642","2,210","          2.10","2,305","2,337","          0.99"
"경상북도 영천시 화산면(4723033000)","3,672","1,657","          2.22","1,850","1,822","          1.02"
