"행정구역","2015년12월_전체세대","2015년12월_1인세대","2015년12월_2인세대","2015년12월_3인세대","2015년12월_4인세대","2015년12월_5인세대","2015년12월_6인세대","2015년12월_7인세대","2015년12월_8인세대","2015년12월_9인세대","2015년12월_10인세대"
"대전광역시 대덕구 (3023000000)","77,051","23,888","16,413","15,145","15,667","4,594","989","261","55","16","23"
"울산광역시  (3100000000)","451,688","134,330","89,635","91,471","105,013","25,003","4,747","1,077","285","68","59"
"울산광역시 중구 (3111000000)","95,710","28,787","20,153","19,590","20,862","5,111","942","202","48","8","7"
"울산광역시 남구 (3114000000)","133,669","40,989","25,800","27,255","31,136","6,826","1,248","304","69","29","13"
"울산광역시 동구 (3117000000)","68,359","21,305","13,458","13,822","15,053","3,679","796","185","44","7","10"
"울산광역시 북구 (3120000000)","67,469","15,439","12,437","14,647","19,431","4,503","808","146","41","10","7"
"울산광역시 울주군 (3171000000)","86,481","27,810","17,787","16,157","18,531","4,884","953","240","83","14","22"
"세종특별자치시  (3600000000)","81,806","26,464","15,849","15,089","17,073","5,521","1,353","323","90","27","17"
"세종특별자치시  (3611000000)","81,806","26,464","15,849","15,089","17,073","5,521","1,353","323","90","27","17"
"경기도  (4100000000)","4,885,012","1,543,227","957,033","947,749","1,081,204","276,182","59,896","14,238","3,663","1,070","750"
"경기도 수원시 (4111000000)","463,154","152,602","81,977","87,881","108,384","25,783","5,011","1,105","270","80","61"
"경기도 성남시 (4113000000)","390,968","131,114","77,565","75,681","82,025","19,277","4,022","914","259","78","33"
"경기도 의정부시 (4115000000)","172,392","54,970","35,967","34,299","35,359","9,100","2,082","446","120","37","12"
"경기도 안양시 (4117000000)","223,779","61,118","43,693","47,176","55,899","12,633","2,457","584","141","52","26"
"경기도 부천시 (4119000000)","327,617","98,113","64,718","67,974","73,610","18,200","3,778","894","228","64","38"
"경기도 광명시 (4121000000)","128,208","33,453","26,226","27,467","31,402","7,623","1,531","360","99","30","17"
"경기도 평택시 (4122000000)","189,122","69,169","37,234","32,672","36,130","10,589","2,494","603","150","51","30"
"경기도 동두천시 (4125000000)","42,094","16,156","9,477","7,188","6,450","2,058","557","167","22","8","11"
"경기도 안산시 (4127000000)","281,865","100,199","50,554","51,623","60,564","15,308","2,794","625","140","37","21"
"경기도 고양시 (4128000000)","393,093","116,344","75,758","80,242","93,171","21,781","4,450","941","284","73","49"
